ICAO;DIAMES;MES_LOCAL;HORA_LOCAL;TOTALES
LEMD_DCL;27;7;21:00;44
LEMD_DCL;27;7;22:00;19
LEMD_DCL;27;7;23:00;5
LEMD_DCL;28;7;0:00;4
LEMD_DCL;28;7;1:00;4
LEMD_DCL;28;7;2:00;2
LEMD_DCL;28;7;3:00;7
LEMD_DCL;28;7;4:00;39
LEMD_DCL;28;7;5:00;54
LEMD_DCL;28;7;6:00;60
LEMD_DCL;28;7;7:00;59
LEMD_DCL;28;7;8:00;75
LEMD_DCL;28;7;9:00;74
LEMD_DCL;28;7;10:00;66
LEMD_DCL;28;7;11:00;67
LEMD_DCL;28;7;12:00;83
LEMD_DCL;28;7;13:00;98
LEMD_DCL;28;7;14:00;78
LEMD_DCL;28;7;15:00;47
LEMD_DCL;28;7;16:00;66
LEMD_DCL;28;7;17:00;69
LEMD_DCL;28;7;18:00;71
LEMD_DCL;28;7;19:00;71
LEMD_DCL;28;7;20:00;67
LEMD_DCL;28;7;21:00;51
LEMD_DCL;28;7;22:00;21
LEMD_DCL;28;7;23:00;5
LEMD_DCL;29;7;0:00;3
LEMD_DCL;29;7;1:00;2
LEMD_DCL;29;7;2:00;8
LEMD_DCL;29;7;3:00;12
LEMD_DCL;29;7;4:00;42
LEMD_DCL;29;7;5:00;72
LEMD_DCL;29;7;6:00;66
LEMD_DCL;29;7;7:00;75
LEMD_DCL;29;7;8:00;87
LEMD_DCL;29;7;9:00;79
LEMD_DCL;29;7;10:00;81
LEMD_DCL;29;7;11:00;69
LEMD_DCL;29;7;12:00;82
LEMD_DCL;29;7;13:00;93
LEMD_DCL;29;7;14:00;75
LEMD_DCL;29;7;15:00;51
LEMD_DCL;29;7;16:00;73
LEMD_DCL;29;7;17:00;67
LEMD_DCL;29;7;18:00;73
LEMD_DCL;29;7;19:00;72
LEMD_DCL;29;7;20:00;63
LEMD_DCL;29;7;21:00;46
LEMD_DCL;29;7;22:00;22
LEMD_DCL;29;7;23:00;4
LEMD_DCL;30;7;0:00;2
LEMD_DCL;30;7;1:00;4
LEMD_DCL;30;7;2:00;6
LEMD_DCL;30;7;3:00;17
LEMD_DCL;30;7;4:00;44
LEMD_DCL;30;7;5:00;73
LEMD_DCL;30;7;6:00;65
LEMD_DCL;30;7;7:00;80
LEMD_DCL;30;7;8:00;86
LEMD_DCL;30;7;9:00;78
LEMD_DCL;30;7;10:00;72
LEMD_DCL;30;7;11:00;68
LEMD_DCL;30;7;12:00;75
LEMD_DCL;30;7;13:00;89
LEMD_DCL;30;7;14:00;70
LEMD_DCL;30;7;15:00;43
LEMD_DCL;30;7;16:00;67
LEMD_DCL;30;7;17:00;73
LEMD_DCL;30;7;18:00;76
LEMD_DCL;30;7;19:00;65
LEMD_DCL;30;7;20:00;67
LEMD_DCL;30;7;21:00;50
LEMD_DCL;30;7;22:00;17
LEMD_DCL;30;7;23:00;6
LEMD_DCL;31;7;0:00;3
LEMD_DCL;31;7;1:00;2
LEMD_DCL;31;7;2:00;4
